Client,Address,Latitude,Longitude,City,State,Country
Agean,"4465 Clyo Rd., Dayton, OH, 45459",39.649942836734695,-84.10978645,Centerville,Ohio,United States
Agean," 9756 Princeton Glendale Rd., West Chester, OH, 45246",40.2336795,-81.3442776,West Chester,Ohio,United States
Agean,"4421 Cemetary Rd., Hillard, OH, 43026",38.802466,-82.837182,Harrison,Ohio,United States
Agean,"15 South Wakea, Kahului, HI, 96732",20.88834690062548,-156.4785855,Kahului,Hawaii,United States
Agean,"3-2600 Kaumualii Hwy Spc E15, Lihue, HI, 96766",21.96965,-159.37878,Lihue,Hawaii,United States
Amazon Hot Tubs & Pools,"3211 W Wadley Ave Ste 26, Midland, TX 79705",32.020159,-102.122603,Midland,Texas,United States
America's Hot Tub Warehouse,"3520 Woodrow Rd suite 128, Lubbock, TX 79423",33.447621,-101.8925063,Lubbock,Texas,United States
Aqua Paradise,"23052 Lake Forest Dr Laguna Hills, CA 92653",33.6287184,-117.7290217,Laguna Hills,California,United States
Aqua Paradise,"22922 Los Alisos Blvd Mission Viejo, CA 92691",33.6291822,-117.6639658,Mission Viejo,California,United States
Aqua Paradise,"6992 El Camino Real Carlsbad, CA 92009",33.1038809,-117.266173,Carlsbad,California,United States
Aqua Paradise,"3655 Camino Del Rio West San Diego, CA 92110",32.755695,-117.2043605,San Diego,California,United States
Aqua Paradise,"11305 Rancho Bernardo Rd San Diego, CA 92127",33.0240809,-117.0864853,San Diego,California,United States
Aquatic Spas & More,"10213 S. Jacob Smart Blvd, Ridgeland, SC 29936",32.4670775,-80.9892258,Ridgeland,South Carolina,United States
AquaVision Pool & Spa,"2616 Lawndale Dr STE E, Greensboro, NC 27408",36.1028257,-79.8190082,Greensboro,North Carolina,United States
Backyard Living Center,"3924 Brodsky Avenue #30, Saskatoon, SK S7P 0C9",52.198822199999995,-106.6277095,Saskatoon,Saskatchewan,Canada
Baker Pool & Spa,"6 THF Blvd, Chesterfield, MO 63005",38.666658,-90.5827238,Chesterfield,Missouri,United States
Bemister's Pool & Patio,"57 S Broadway, Salem, NH 03079",42.776111,-71.2252217,Salem,New Hampshire,United States
Bemister's Pool & Patio,"575 Lafayette Road, Hampton, NH 03842",42.9440121,-70.8178428,Hampton,New Hampshire,United States
Best Spas Direct,"7464 E Main St Suite B, Mesa, AZ 85207",33.41510368181818,-111.6703171,Mesa,Arizona,United States
Blue Wave,"208 W 200 N, Kaysville, UT 84037",41.038213081632655,-111.9422565,Kaysville,Utah,United States
Cal Spas of Sacramento,"9778 Business Park Dr. Suite B, Sacramento, CA 95827",38.56985453906764,-121.3312431,Rancho Cordova,California,United States
Canadian Hot Tubs," 330 Gage Ave #15, Kitchener, ON N2M 5C6, Canada",43.4455806,-80.5189254,Kitchener,Ontario,Canada
Cedar & Soak,"902 W Rose St, Walla Walla, WA 99362",46.0628884,-118.3519874,Walla Walla,Washington,United States
Choice Backyard,"5301 Capital Blvd, Suite J, Raleigh, NC, 27616",35.85755723025358,-78.58114939,Raleigh,North Carolina,United States
Clearwater Pool & Spa World,"2110 S Sherwood Forest Blvd. Baton Rouge, LA 70816",30.43357627332724,-91.05721737,Baton Rouge,Louisiana,United States
Clearwater Pools MS,"5730 US-80 e, Pearl, MS 39208",32.2735792,-90.127881,Pearl,Mississippi,United States
Columbia Pool & Spa,"1200 Business Loop 70 W, Columbia, MO 65202",38.965386,-92.356144,Columbia,Missouri,United States
Columbia Pool & Spa,"4195 Osage Beach Pkwy Osage Beach, MO 65065",38.129259,-92.65567,Osage Beach,Missouri,United States
Columbia River Hot Tubs,"8720 NE Centerpointe Dr. #213, Vancouver, WA 98665",45.6853639,-122.6012717,Vancouver,Washington,United States
Dream Spas,"716 E Main St, Farmington, NM 87401",36.733041,-108.19394,Farmington,New Mexico,United States
East Coast Softubs,"5613 Factory Shops Blvd Ellenton, Florida 34222 ",27.534402,-82.505216,Ellenton,Florida,United States
Everything Hot Tubz,"290 W Hampden Ave, Englewood, CO 80110",39.65301925267583,-104.9909853,Englewood,Colorado,United States
Everything Hot Tubz,"1041 Park St, Castle Rock, CO 80109",39.38066825503805,-104.8658034,Castle Rock,Colorado,United States
Family Time Spas," 2583 US-6 & 50, Grand Junction, CO 81501",41.6069796,-80.691916,Grand Junction,Colorado,United States
Hawaii Spas & Outdoor LLC,75-5699 Kopiko St. Bldg B - Unit C Kailua Kona HI 96740,19.642863,-155.994196,Kailua Kona,Hawaii,United States
High Elevation Hot Tubs & Wellness,"1655 High School Rd STE. A , Jackson, WY 83002",43.4588235,-110.7964527,Jackson,Wyoming,United States
Hot Tub & Sauna Depot,"41A Sagona Ave Mount Pearl, NL A1N 4P9",47.516931,-52.83442526,Mount Pearl,Newfoundland and Labrador,Canada
Hot Tub Factory Outlet Pennsylvania,"4680 Old William Penn Highway Monroeville, PA 15146",40.44035715701087,-79.74219268,Monroeville,Pennsylvania,United States
Hot Tub Factory Outlet Pennsylvania,"10269 Perry Highway Wexford, PA 15090",40.601448,-80.049597,Wexford,Pennsylvania,United States
Hot Tub Factory Outlet Utah,"12101 Factory Outlet Dr. Suite 103, Draper, UT, 84020",40.530942,-111.890926,Draper,Utah,United States
Hot Tub Factory Outlet Utah,"248 W 9240 S, Sandy, UT 84070",40.58375,-111.89808,Sandy,Utah,United States
Hot Tub Factory Outlet Utah,"1162 N Redwood Rd, Suite 406, Saratoga Springs, Utah 84045",40.383492,-111.9162603,Saratoga Springs,Utah,United States
Hot Tub Liquidators Superstore,"1550 Raiders Way, Henderson, NV 89052",35.971491,-115.141886,Henderson,Nevada,United States
Hot Tub Liquidators Superstore,"9719 W Flamingo Rd, Las Vegas, NV 89147",36.115009450840674,-115.3048998,Spring Valley,Nevada,United States
Hot Tub Tony's,"2526 Keslinger Rd. Geneva, IL 60134",41.88265512751678,-88.35969562,Geneva,Illinois,United States
Hot Tubs & Swim Spas of Rockville,"4935 Wyaconda Road Rockville, MD 20852",39.04515752,-77.09840386,North Bethesda,Maryland,United States
Hottub Outlet,"5930 N Hix Road, Westland, MI 48185",42.326534157894734,-83.41830668,Westland,Michigan,United States
Icon Pools & Spa,"323 Commercial St. Belton, MO 64012",38.81315444897959,-94.53178096,Belton,Missouri,United States
Icon Pools & Spa,"13005 State Line Rd. Kansas City, MO 64145",38.89225768731073,-94.60785554,Leawood,Kansas,United States
Innovative Spas,"155 S Rosemont Rd, Virginia Beach, VA 23452",36.836724294117644,-76.09649885,Virginia Beach,Virginia,United States
Kasten,"713 Kasten Drive, Jackson, MO 63755",37.3828316,-89.6684487,Jackson,Missouri,United States
Kasten,"210 Industrial Drive, Carbondale, IL 62901",37.7274692,-89.216655,Carbondale,Illinois,United States
Kasten,"30 Northwood Dr, Bonne Terre, MO 63628",37.9247678,-90.5510587,Bonne Terre,Missouri,United States
Mike's Factory Direct,"15 Kings Highway North Westport, CT 06880",41.137031,-73.371033,Wesport,Connecticut,United States
Mirage Spa Sales,"1909 St Michaels Dr, Santa Fe, NM 87505",35.6602523,-105.9688937,Santa Fe,New Mexico,United States
North Idaho Spas,"564 Birch Ave, Ponderay, ID 83852",48.3058039,-116.5337605,Ponderay,Idaho,United States
Northeast Factory Direct,"3321 W 140th St. Cleveland, OH 44111",41.462208,-81.789915,Cleveland,Ohio,United States
Northeast Factory Direct,"24470 Lakeland Blvd Euclid, OH 44132",41.595954190661075,-81.51100889,Euclid,Ohio,United States
Northeast Factory Direct,"9009 Freeway Dr. Macedonia, OH 44056",41.32351861087056,-81.51434966,Macedonia,Ohio,United States
Northeast Factory Direct,"3176 Whitewood St. NW North Canton, OH 44720",40.90454167341858,-81.40515571,Mount Pleasant,Ohio,United States
Outdoor Living,"800 Brevard Rd suite 101, Asheville, NC 28806",35.53139,-82.60449,Asheville,North Carolina,United States
Paradise Spas & Outdoor Living,"1615 S Broadway, Minot, ND 58701",48.217716482642324,-101.2959328,Minot,North Dakota,United States
Paradise Spas & Outdoor Living,"26526 I-45, Oak Ridge North, TX 77386",30.14840096617419,-95.44699048,Oak Ridge North,Texas,United States
Patio Life,"2188 E. Commercial Street Meridian, ID  83642",43.6100846,-116.3675736,Meridian,Idaho,United States
"Platinum Pool, Spa & Sauna","2178 Quebecor Rd NE, St Cloud, MN 56304",45.544663,-94.132274,St. Cloud,Minnesota,United States
PMHOKC," 2340 S I-35 Service Road, Moore, OK 73160",35.33400855,-97.4904213,Moore,Oklahoma,United States
PMHOKC," 44 East 33rd, Edmond, OK 73013",35.62341325,-97.484921,Edmond,Oklahoma,United States
PMHOKC," 9922 Riverside Pkwy, Tulsa, OK 74137",36.0186975,-95.9489483,Tulsa,Oklahoma,United States
"Pools, Spas, and Patios","111 N Gray St, Killeen, TX 76541",31.1177888,-97.7287102,Killeen,Texas,United States
QCA Pools & Spa,"1021 State Street Bettendorf, IA 52722",41.5249346,-90.5187927,Bettendorf,Iowa,United States
QCA Pools & Spa,"999 Century Drive Dubuque, IA 52002",42.4935123,-90.7263641,Dubque,Iowa,United States
QCA Pools & Spa,"2032 Werner Avenue NE Cedar Rapids, IA 52402",42.0274011,-91.6696674,Cedar Rapids,Iowa,United States
Queen Creek Hot Tubs,"23021 E Riggs Rd suite #400, Queen Creek, AZ 85142",33.2196144,-111.6324602,Queen Creek,Arizona,United States
Red Rock Spas,"1115 W Pioneer Blvd #103, Mesquite, NV 89027",36.809111,-114.109367,Mesquite,Nevada,United States
Red Rock Spas,"755 W Telegraph St, Washington, UT 84780",37.126138,-113.521562,Washington,Utah,United States
Red Rock Spas,"250 Red Cliffs Dr, St. George, UT 84790",37.116256,-113.551003,Saint George,Utah,United States
Relax & Retreat,"5604 Colleyville Blvd. Colleyville, TX 76034",32.89069336613306,-97.14910116,Colleyville,Texas,United States
Relax & Retreat,"3625 N Central Expy Suite 200, Plano, TX 75023",33.0205311,-96.7062321,Plano,Texas,United States
Santa Monica Hot Tubs,"2107 Main St, Santa Monica, CA 90405",34.0062538,-118.4877535,Santa Monica,California,United States
Southwest Spa of Mesa,"1110 S Country Club Dr #101A, Mesa, AZ 85210",33.395527,-111.841741,Mesa,Arizona,United States
Spa Crafters,"1723 N Loop 1604 E Suite 104 San Antonio, Tx 78232",29.605984105769227,-98.45867413,San Antonio,Texas,United States
Spa Doctors,"405 W. 4th St., Salem, VA 24153",37.286968268407676,-80.06461081,Salem,Virginia,United States
Spa World,"2040 S. College Ave., Fort Collins, CO 80525",40.56073000000001,-105.076577,Fort Collins,Colorado,United States
Spas Factory Direct,"3919 Grape Rd. Mishawaka, IN 46545",41.6957905,-86.1874463,Mishawaka,Indiana,United States
Strong Spas Factory Store,"625 N Derr Drive Lewisburg, PA 17837",40.96945631310676,-76.89304187,Lewisburg,Pennsylvania,United States
Strong Spas Factory Store,"9090 Destiny USA Dr. Syracuse, NY 13290",43.069595,-76.1738113,City of Syracuse,New York,United States
Strong Spas Factory Store,"161 Washington Ave Ext Space 104, Albany, NY 12205",42.656592,-73.762114,Albany,New York,United States
Strong Spas Factory Store,"8555 Seneca Tpke New Hartford, NY 13413",43.0824989,-75.3156003,Town of New Hartford,New York,United States
The Hot Tub People,"494 The Parkway, Peterborough, ON K9J 7L9",44.273601,-78.341132,Peterborough,Ontario,Canada
The Hot Tub People,"419 King St W, Unit J003, Oshawa, ON L1J 2H9",43.893905,-78.879211,Oshawa,Ontario,Canada
